,x,y,integ_watts
235,-7.9411764705882355,4.764705882352942,5376.0
236,-6.882352941176471,4.764705882352942,10852.0
237,-5.823529411764706,4.764705882352942,13783.0
238,-4.764705882352941,4.764705882352942,14470.0
239,-3.7058823529411766,4.764705882352942,15082.0
240,-2.6470588235294112,4.764705882352942,15224.0
241,-1.5882352941176467,4.764705882352942,15292.0
242,-0.5294117647058822,4.764705882352942,15384.0
243,0.5294117647058822,4.764705882352942,15275.0
244,1.5882352941176467,4.764705882352942,15190.0
245,2.6470588235294112,4.764705882352942,15259.0
246,3.7058823529411775,4.764705882352942,14839.0
247,4.764705882352942,4.764705882352942,14433.0
248,5.8235294117647065,4.764705882352942,13560.0
249,6.882352941176471,4.764705882352942,11082.0
250,7.9411764705882355,4.764705882352942,5304.0
251,9.0,4.764705882352942,1524.0
252,-9.0,5.8235294117647065,1316.0
253,-7.9411764705882355,5.8235294117647065,4834.0
254,-6.882352941176471,5.8235294117647065,10091.0
255,-5.823529411764706,5.8235294117647065,12477.0
256,-4.764705882352941,5.8235294117647065,13247.0
257,-3.7058823529411766,5.8235294117647065,13592.0
258,-2.6470588235294112,5.8235294117647065,13697.0
259,-1.5882352941176467,5.8235294117647065,13702.0
260,-0.5294117647058822,5.8235294117647065,13906.0
261,0.5294117647058822,5.8235294117647065,13979.0
262,1.5882352941176467,5.8235294117647065,13706.0
263,2.6470588235294112,5.8235294117647065,13677.0
264,3.7058823529411775,5.8235294117647065,13563.0
265,4.764705882352942,5.8235294117647065,13164.0
266,5.8235294117647065,5.8235294117647065,12659.0
267,6.882352941176471,5.8235294117647065,10230.0
268,7.9411764705882355,5.8235294117647065,4766.0
269,9.0,5.8235294117647065,1247.0
270,-9.0,6.882352941176471,988.0
271,-7.9411764705882355,6.882352941176471,3317.0
272,-6.882352941176471,6.882352941176471,6470.0
273,-5.823529411764706,6.882352941176471,8434.0
274,-4.764705882352941,6.882352941176471,8851.0
275,-3.7058823529411766,6.882352941176471,9054.0
276,-2.6470588235294112,6.882352941176471,9166.0
277,-1.5882352941176467,6.882352941176471,9235.0
278,-0.5294117647058822,6.882352941176471,9206.0
279,0.5294117647058822,6.882352941176471,9285.0
280,1.5882352941176467,6.882352941176471,9223.0
281,2.6470588235294112,6.882352941176471,9127.0
282,3.7058823529411775,6.882352941176471,9061.0
283,4.764705882352942,6.882352941176471,8699.0
284,5.8235294117647065,6.882352941176471,8400.0
285,6.882352941176471,6.882352941176471,6637.0
286,7.9411764705882355,6.882352941176471,3351.0
287,9.0,6.882352941176471,961.0
288,-9.0,7.9411764705882355,538.0
289,-7.9411764705882355,7.9411764705882355,1278.0
290,-6.882352941176471,7.9411764705882355,2146.0
291,-5.823529411764706,7.9411764705882355,2700.0
292,-4.764705882352941,7.9411764705882355,2972.0
293,-3.7058823529411766,7.9411764705882355,3039.0
294,-2.6470588235294112,7.9411764705882355,3052.0
295,-1.5882352941176467,7.9411764705882355,3171.0
