,iteration,light_height,light_width,inter_0,inter_1,inter_2,inter_3,metric
22,2,7.0773302043435455,11.268381845480075,24.77665544332211,5.465328835506568,18.0,32.0,0.22058380107068093
23,2,6.827202626384811,11.46628168574125,25.287623711866136,5.4267735639870995,18.0,32.0,0.21460195808911076
24,2,6.827202636384811,11.46628168574125,25.211202938475665,5.513123632040236,18.0,32.0,0.21867753178990412
25,2,6.827202626384811,11.466281695741252,25.234465870829506,5.456202492681344,18.0,32.0,0.2162202489488234
26,2,6.768827641236936,11.512467719740544,25.385266809509233,5.481073095858508,19.0,33.0,0.2159155204862892
27,2,6.768827651236936,11.512467719740544,25.482093663911847,5.556924601176679,18.0,33.0,0.21807174380833882
28,2,6.768827641236936,11.512467729740544,25.446178961330478,5.468555328241001,19.0,33.0,0.2149067385147036
29,2,6.737914811646119,11.536925815873314,25.506785021936537,5.519587874161057,19.0,33.0,0.21639684771773704
30,2,6.737914821646119,11.536925815873314,25.49403122130395,5.535149860096083,19.0,33.0,0.21711552057215122
31,2,6.737914811646119,11.536925825873315,25.549535761656973,5.501297955459877,19.0,33.0,0.21531890077297824
32,2,6.720065101717703,11.551048428625043,25.505152535455565,5.461032336087588,19.0,33.0,0.21411486673118402
33,2,6.720065111717703,11.551048428625043,25.53168044077135,5.487297974376833,19.0,33.0,0.21492114422731878
34,2,6.720065101717703,11.551048438625044,25.482399755127027,5.5043481523763615,19.0,33.0,0.2160058787739916
35,2,6.7069868705637745,11.561395868152365,25.6164677073768,5.5435251018871075,19.0,33.0,0.21640474265274026
36,2,6.7069868805637745,11.561395868152365,25.597388021630447,5.581603701532975,19.0,33.0,0.21805364269262073
37,2,6.7069868705637745,11.561395878152366,25.55178043056831,5.512171943053982,19.0,33.0,0.2157255521990795
38,2,6.704686028381326,11.5632162844659,25.570043873074177,5.466673431288925,19.0,33.0,0.21379210213422642
39,2,6.704686038381326,11.5632162844659,25.584328129782676,5.5348056279809965,19.0,33.0,0.21633578180768945
40,2,6.704686028381326,11.563216294465901,25.556677890011223,5.524086866054315,19.0,33.0,0.21615042807318058
41,2,6.70321350367917,11.564381339596729,25.63105805530048,5.4432346806087155,19.0,33.0,0.21236870787248127
42,2,6.70321351367917,11.564381339596729,25.525456586062646,5.561355086588181,19.0,33.0,0.21787485241791052
43,2,6.70321350367917,11.56438134959673,25.585756555453525,5.578997115698472,18.0,33.0,0.21805089498161923
44,2,6.702647843783691,11.564828887242324,25.571472298745025,5.540385013776609,19.0,33.0,0.2166627306026691
45,2,6.702647853783691,11.564828887242324,25.573104785225997,5.518941518098777,19.0,33.0,0.21581038221401885
46,2,6.702647843783691,11.564828897242325,25.53770023466993,5.513988849246827,19.0,33.0,0.2159156383925694
47,2,6.702330149715401,11.565080245405454,25.581573308846036,5.579187864262135,19.0,33.0,0.2180940084061549
48,2,6.702330159715401,11.565080245405454,25.627486991123355,5.496499289437876,19.0,33.0,0.21447671757054096
49,2,6.702330149715401,11.565080255405455,25.55800428527701,5.4820041601273815,19.0,33.0,0.2144926536101003
50,2,6.702226510146321,11.565162244581112,25.616977859402102,5.5579254346976406,19.0,33.0,0.21696257322788512
51,2,6.702226520146321,11.565162244581112,25.569839812264053,5.507250460694821,19.0,33.0,0.21538071810889406
52,2,6.702226510146321,11.565162254581113,25.60626466687073,5.57503998593338,19.0,33.0,0.21772171999558926
53,2,6.70219633898884,11.565186115869501,25.597081930415264,5.484968249740759,19.0,33.0,0.2142809975235242
54,2,6.70219634898884,11.565186115869501,25.6946229976533,5.509459883929544,19.0,33.0,0.21442073247903756
55,2,6.70219633898884,11.565186125869502,25.529537802265075,5.520825316278756,19.0,33.0,0.21625245858500924
56,2,6.702216251952778,11.565170360819163,25.560146923783286,5.54068527216795,19.0,33.0,0.21677047822492898
57,2,6.702216261952778,11.565170360819163,25.549433731251913,5.487259727786965,19.0,33.0,0.21477030706457426
58,2,6.702216251952778,11.565170370819164,25.647178859300073,5.508097984174851,19.0,33.0,0.2147642832138447
59,2,6.702202079228151,11.56518157421716,25.56188144066932,5.586002143535237,19.0,33.0,0.21852859917610865
60,2,6.702202089228151,11.56518157421716,25.5507601265177,5.519857732635655,19.0,33.0,0.21603497137867553
61,2,6.702202079228151,11.56518158421716,25.626364656667686,5.448216936412998,19.0,33.0,0.2126020217618122
62,2,6.702199342384187,11.565183739596185,25.51321293745536,5.531098959601792,18.0,33.0,0.2167935090402398
63,2,6.702199352384187,11.565183739596185,25.574227119681666,5.571879138679388,19.0,33.0,0.21787087103763642
64,2,6.702199342384187,11.565183749596185,25.675339251096826,5.504512340454206,19.0,33.0,0.21438907921027991
65,2,6.702197955184695,11.56518483714238,25.574431180491786,5.457256644323706,19.0,33.0,0.2133872149808168
66,2,6.702197965184695,11.56518483714238,25.594327109478623,5.48830782315335,19.0,33.0,0.21443454245455842
67,2,6.702197955184695,11.565184847142381,25.549841852872156,5.435149786735578,19.0,33.0,0.21272733577114458
