,light_height,light_width,inter_0,inter_1,inter_2,inter_3,metric
111,14.282051282051283,7.3076923076923075,11.482399755127028,3.4879829843665564,7.0,16.0,0.3037677714372495
112,14.282051282051283,6.538461538461538,11.608917457402306,3.507799995947973,7.0,16.0,0.30216426370671284
113,14.282051282051283,6.0256410256410255,11.74339353127232,3.4982706636383694,7.0,16.0,0.29789265379914037
114,14.282051282051283,6.282051282051282,11.713906744209774,3.5009552315022225,7.0,16.0,0.29887170078699465
115,14.282051282051283,6.794871794871795,11.607489031731456,3.49359187599348,7.0,16.0,0.3009774005767336
116,14.282051282051283,5.256410256410256,11.927558412406897,3.5001795174975827,8.0,17.0,0.293453144095001
117,14.282051282051283,5.512820512820513,11.930109172533415,3.5428653929626397,7.0,17.0,0.29696839666139413
118,14.282051282051283,5.769230769230769,11.846954392408938,3.5180301632923867,7.0,16.0,0.29695650432710385
119,14.282051282051283,5.0,12.029282726252424,3.6065075672633546,8.0,17.0,0.2998106910724276
120,13.923076923076923,15.0,9.447811447811448,3.104833551754285,6.0,14.0,0.32862992333250984
121,13.923076923076923,14.743589743589743,9.528313437404346,3.084108069034474,6.0,14.0,0.32367827625479867
122,13.923076923076923,14.487179487179485,9.633506785021936,3.120044179699559,6.0,14.0,0.3238741871807852
123,13.923076923076923,13.974358974358974,9.868380777471687,3.143803878511195,6.0,14.0,0.31857342652283105
124,13.923076923076923,13.717948717948717,9.854912764003673,3.1998955119918953,6.0,14.0,0.3247005416100609
125,13.923076923076923,14.23076923076923,9.662483420059178,3.1370019219659553,6.0,14.0,0.3246579358111584
126,13.923076923076923,13.46153846153846,9.925823895520866,3.19228795293533,6.0,14.0,0.3216144056692245
127,13.923076923076923,13.205128205128204,10.036526885011734,3.234420458757134,6.0,14.0,0.3222649125353639
128,13.923076923076923,12.948717948717949,10.17569635751454,3.221025883361948,6.0,14.0,0.3165410769144352
129,13.923076923076923,12.435897435897434,10.352719110294867,3.2866589932010117,6.0,15.0,0.31746818958245654
130,13.923076923076923,12.179487179487179,10.418732782369146,3.278855726333579,6.0,15.0,0.31470772836041494
131,13.923076923076923,11.923076923076923,10.477196204468932,3.279534530264984,6.0,15.0,0.3130164278937656
132,13.923076923076923,12.692307692307692,10.2939495969799,3.2217017915284285,6.0,14.0,0.31297042609122844
133,13.923076923076923,11.666666666666666,10.619222528313438,3.3337149839008258,7.0,15.0,0.3139321146168967
134,13.923076923076923,11.410256410256409,10.696663605754514,3.313057108369372,7.0,15.0,0.30972808255716644
135,13.923076923076923,10.897435897435898,10.868074686256504,3.3426624970309526,7.0,15.0,0.3075671260575712
136,13.923076923076923,11.153846153846153,10.787062544638303,3.3816305103825495,7.0,15.0,0.3134894691106973
137,13.923076923076923,10.384615384615383,11.028262422201816,3.3789225760025854,7.0,15.0,0.30638757463734495
138,13.923076923076923,10.128205128205128,11.055810631568207,3.4156722344265655,7.0,16.0,0.30894814937166404
139,13.923076923076923,10.64102564102564,10.924701561065197,3.3637793786453636,7.0,15.0,0.30790583704671776
140,13.923076923076923,9.871794871794872,11.185083154780125,3.4333667529410374,7.0,16.0,0.3069594302903088
141,13.923076923076923,9.615384615384615,11.307519640852973,3.413530753505669,7.0,16.0,0.30188147904452123
142,13.923076923076923,9.102564102564102,11.445872870115295,3.4683335147316634,7.0,16.0,0.3030204471156883
143,13.923076923076923,9.358974358974358,11.36598306295276,3.389671118880545,7.0,16.0,0.29822947123061655
144,13.923076923076923,8.846153846153847,11.498316498316498,3.4355942793738468,7.0,16.0,0.29879106909927744
145,13.923076923076923,8.58974358974359,11.626262626262626,3.4703989703441858,7.0,16.0,0.29849652307912633
146,13.923076923076923,8.333333333333332,11.682889501071319,3.4874740595043443,7.0,16.0,0.29851125949488294
147,13.923076923076923,8.076923076923077,11.697479848995,3.5285653120118914,7.0,16.0,0.30165175384465837
148,13.923076923076923,7.82051282051282,11.821650851953882,3.504224361772018,7.0,16.0,0.29642428165545426
149,13.923076923076923,7.564102564102564,11.790123456790123,3.529190644974045,7.0,16.0,0.2993344944951808
150,13.923076923076923,7.3076923076923075,11.905723905723907,3.519921425405018,8.0,16.0,0.29564950886461827
151,13.923076923076923,7.051282051282051,11.985511682481379,3.5671004982459507,8.0,17.0,0.29761770650641495
152,13.923076923076923,6.794871794871795,12.050607080910112,3.6154970735226732,8.0,17.0,0.30002613555047686
153,13.923076923076923,6.538461538461538,12.115090296908479,3.58396846109422,8.0,17.0,0.29582680551780743
154,13.923076923076923,6.282051282051282,12.26221814100602,3.6572366617101237,8.0,17.0,0.29825245478874474
155,13.923076923076923,5.256410256410256,12.385164779104173,3.5981295654331413,8.0,17.0,0.2905193131950721
156,13.923076923076923,6.0256410256410255,12.227731864095501,3.6081071418629485,8.0,17.0,0.2950757492857277
157,13.923076923076923,5.769230769230769,12.357004387307418,3.638381057223197,8.0,17.0,0.2944387606562951
158,13.923076923076923,5.512820512820513,12.352106927864504,3.6520128891098156,8.0,17.0,0.2956591058057813
159,13.923076923076923,5.0,12.476175900418324,3.6145062385772944,8.0,17.0,0.289712670567277
160,13.564102564102564,14.743589743589743,9.840628507295174,3.1562878540931005,6.0,14.0,0.320740474224105
161,13.564102564102564,14.487179487179485,9.932966023875116,3.176361501513277,6.0,14.0,0.3197797610379919
162,13.564102564102564,15.0,9.786552392612998,3.1810880612581083,6.0,14.0,0.3250468534413845
163,13.564102564102564,14.23076923076923,10.024283236404449,3.2311269975493047,6.0,14.0,0.322329978248725
164,13.564102564102564,13.974358974358974,10.157534945413733,3.219589279946416,6.0,14.0,0.3169656119568759
165,13.564102564102564,13.46153846153846,10.32853790429548,3.2302093458371606,6.0,15.0,0.31274604167292314
166,13.564102564102564,13.717948717948717,10.265687174778083,3.237781858592077,6.0,15.0,0.3153984534563873
167,13.564102564102564,12.435897435897434,10.68880726456484,3.3152380305733,7.0,15.0,0.31015977260286665
168,13.564102564102564,13.205128205128204,10.419753086419753,3.2515077115034567,6.0,15.0,0.3120522803694076
169,13.564102564102564,12.948717948717949,10.512702785430058,3.296872344931016,6.0,15.0,0.31360844230279894
170,13.564102564102564,12.692307692307692,10.644934190388735,3.3006411985328215,7.0,15.0,0.31006684865303874
171,13.564102564102564,11.923076923076923,10.94837261503928,3.397483066768946,7.0,15.0,0.31031854561672284
172,13.564102564102564,12.179487179487179,10.805938169574533,3.3418149576778067,7.0,15.0,0.30925727181070717
173,13.564102564102564,11.666666666666666,10.93816957453321,3.3375628318859807,7.0,15.0,0.30512992225469426
174,13.564102564102564,11.410256410256409,11.126109580655035,3.397997341958433,7.0,16.0,0.3054075027147432
175,13.564102564102564,11.153846153846153,11.207121722273238,3.3953451709800393,7.0,16.0,0.30296317423161995
176,13.564102564102564,10.64102564102564,11.382205897357412,3.4513579823164817,7.0,16.0,0.3032239983567489
177,13.564102564102564,10.897435897435898,11.309050096928885,3.437029360517439,7.0,16.0,0.30391848396275184
178,13.564102564102564,10.384615384615383,11.515355575961637,3.4513828482994957,7.0,16.0,0.2997200412555453
179,13.564102564102564,10.128205128205128,11.564228139985715,3.4667487567962865,7.0,16.0,0.2997821138454787
180,13.564102564102564,9.615384615384615,11.727884909703091,3.4772024017327308,7.0,16.0,0.296490153894319
181,13.564102564102564,9.871794871794872,11.574737271706969,3.488689216392611,7.0,16.0,0.3014054776794187
182,13.564102564102564,9.102564102564102,11.928272625242322,3.545563549153814,7.0,17.0,0.29724031807009327
183,13.564102564102564,9.358974358974358,11.797571676359555,3.5437185626816468,7.0,16.0,0.3003769470443389
184,13.564102564102564,8.846153846153847,11.925823895520866,3.5635967663694235,8.0,17.0,0.2988134654334322
185,13.564102564102564,8.58974358974359,12.020916233037445,3.5703993434216423,8.0,17.0,0.29701557470378226
186,13.564102564102564,8.333333333333332,12.13406795224977,3.5748990967234713,8.0,17.0,0.2946167032186969
187,13.564102564102564,7.82051282051282,12.335986123864911,3.6226255316677203,8.0,17.0,0.29366323010525064
188,13.564102564102564,8.076923076923077,12.187531884501581,3.588252386311081,8.0,17.0,0.2944199383694844
189,13.564102564102564,7.3076923076923075,12.474849505152536,3.6258553329556484,8.0,17.0,0.29065323244645536
190,13.564102564102564,7.564102564102564,12.361187633914907,3.593510057990376,8.0,17.0,0.29070912637318136
191,13.564102564102564,7.051282051282051,12.535557596163656,3.623685223680455,8.0,17.0,0.289072519980239
192,13.564102564102564,6.794871794871795,12.614018977655341,3.6436071765576705,8.0,17.0,0.28885378902727277
193,13.564102564102564,6.538461538461538,12.692684419957148,3.7199754121395556,8.0,18.0,0.2930802727822106
194,13.564102564102564,6.282051282051282,12.697173757779819,3.6695624221246668,8.0,17.0,0.28900623809107523
195,13.564102564102564,6.0256410256410255,12.81389654116927,3.720307023301579,8.0,18.0,0.29033378031020846
196,13.564102564102564,5.769230769230769,12.841240689725538,3.669725892353402,8.0,18.0,0.2857765835110935
197,13.564102564102564,5.0,13.042750739720436,3.7177630107234365,8.0,18.0,0.28504439630218104
198,13.564102564102564,5.512820512820513,12.872870115294358,3.7605016869865198,8.0,18.0,0.29212612675386496
199,13.564102564102564,5.256410256410256,12.999591878379757,3.755620192328962,8.0,18.0,0.28890293075855045
200,13.205128205128204,14.743589743589743,10.295888174676053,3.228184286517665,6.0,15.0,0.3135411177500707
201,13.205128205128204,15.0,10.109478624630139,3.2017418455273154,6.0,14.0,0.3167069207433487
202,13.205128205128204,14.487179487179485,10.305989184777063,3.247020538398756,6.0,15.0,0.3150615123092616
203,13.205128205128204,14.23076923076923,10.420263238445056,3.272414496228043,6.0,15.0,0.3140433616067038
204,13.205128205128204,13.46153846153846,10.746250382614019,3.2917814926764346,7.0,15.0,0.3063190764661591
205,13.205128205128204,13.974358974358974,10.519844913784308,3.285086871285065,6.0,15.0,0.3122752187135922
206,13.205128205128204,13.717948717948717,10.621977349250077,3.3017856067492617,7.0,15.0,0.31084472299146554
207,13.205128205128204,13.205128205128204,10.840832568105295,3.3489334801041144,7.0,15.0,0.3089184764237553
208,13.205128205128204,12.948717948717949,10.925619834710744,3.3709959354056163,7.0,15.0,0.30854047517706473
209,13.205128205128204,12.692307692307692,11.084685236200388,3.375637752649703,7.0,16.0,0.3045316741719953
210,13.205128205128204,12.435897435897434,11.15977961432507,3.385990347294711,7.0,16.0,0.3034101446724216
211,13.205128205128204,12.179487179487179,11.260075502499745,3.396554841566527,7.0,16.0,0.3016458318430005
212,13.205128205128204,11.153846153846153,11.675441281501888,3.4767521043391607,7.0,16.0,0.29778335743485695
213,13.205128205128204,11.923076923076923,11.34006734006734,3.473595585963128,7.0,16.0,0.3063117247716891
214,13.205128205128204,11.410256410256409,11.552494643403735,3.506218207173004,7.0,16.0,0.3035031233859945
215,13.205128205128204,10.64102564102564,11.832568105295378,3.508850794876146,8.0,16.0,0.2965417788980099
216,13.205128205128204,10.897435897435898,11.72757881848791,3.5271280277018424,7.0,16.0,0.30075500512872366
217,13.205128205128204,11.666666666666666,11.49994898479747,3.435386798945763,7.0,16.0,0.2987306120650817
218,13.205128205128204,9.871794871794872,12.119375573921028,3.5469122816690795,8.0,17.0,0.2926646063598748
219,13.205128205128204,10.128205128205128,12.027956330986633,3.5643592220969396,8.0,17.0,0.2963395546186325
220,13.205128205128204,9.615384615384615,12.21773288439955,3.6208896074445867,8.0,17.0,0.29636346134788966
221,13.205128205128204,10.384615384615383,11.954494439342923,3.5326065015828902,8.0,17.0,0.29550446650063933
222,13.205128205128204,9.358974358974358,12.284562799714315,3.6275335319913355,8.0,17.0,0.2952920336795133
223,13.205128205128204,9.102564102564102,12.333639424548515,3.569345947792621,8.0,17.0,0.2893992458291183
224,13.205128205128204,8.846153846153847,12.52861952861953,3.6309474566478763,8.0,17.0,0.2898122533255628
225,13.205128205128204,8.58974358974359,12.622895622895623,3.6207327102209033,8.0,17.0,0.28683852092174134
226,13.205128205128204,8.333333333333332,12.674931129476583,3.6598613778979776,8.0,17.0,0.28874802872787786
227,13.205128205128204,7.82051282051282,12.800428527701255,3.7068868228439498,8.0,18.0,0.28959083790217804
228,13.205128205128204,7.564102564102564,12.849199061320274,3.696902304025461,8.0,18.0,0.28771461056698727
229,13.205128205128204,8.076923076923077,12.760228548107335,3.68724969787252,8.0,18.0,0.2889642363356754
230,13.205128205128204,7.3076923076923075,13.000204060810121,3.730268971607618,8.0,18.0,0.28693926296532013
231,13.205128205128204,6.794871794871795,13.166615651464136,3.770166218495694,8.0,18.0,0.28634284756967515
232,13.205128205128204,7.051282051282051,13.102030405060708,3.711567602433762,9.0,18.0,0.2832818645421671
233,13.205128205128204,6.282051282051282,13.256198347107437,3.7984591083541104,8.0,18.0,0.2865421147823238
234,13.205128205128204,6.538461538461538,13.275482093663912,3.765200778046353,9.0,18.0,0.2836206437914144
235,13.205128205128204,6.0256410256410255,13.387511478420569,3.799084185618859,9.0,18.0,0.2837782206007914
236,13.205128205128204,5.769230769230769,13.44811753902663,3.744326971268413,9.0,18.0,0.27842759110353715
237,13.205128205128204,5.512820512820513,13.598306295275993,3.8399987549698156,9.0,19.0,0.28238801741830294
238,13.205128205128204,5.256410256410256,13.56637077849199,3.8638321176869357,9.0,19.0,0.28480956187727247
239,13.205128205128204,5.0,13.590245893276196,3.8341341108390723,9.0,19.0,0.2821239689810189
240,12.846153846153847,15.0,10.427201305989184,3.2648037911483736,6.0,15.0,0.31310451341081647
241,12.846153846153847,14.743589743589743,10.627384960718294,3.29362962554205,7.0,15.0,0.30991910406146017
242,12.846153846153847,14.487179487179485,10.719212325272931,3.298521500504737,7.0,15.0,0.3077205115834619
243,12.846153846153847,14.23076923076923,10.772778287929803,3.332582977179675,7.0,15.0,0.3093522291193551
244,12.846153846153847,13.205128205128204,11.225793286399346,3.423979005052145,7.0,16.0,0.30500998171777133
245,12.846153846153847,13.974358974358974,10.948780736659524,3.3288658144220564,7.0,15.0,0.3040398647564564
246,12.846153846153847,13.46153846153846,11.191919191919192,3.3909919861807105,7.0,16.0,0.30298574605766276
247,12.846153846153847,12.692307692307692,11.436384042444649,3.402715107092741,7.0,16.0,0.2975341764026118
248,12.846153846153847,13.717948717948717,10.980614223038465,3.35204903021829,7.0,15.0,0.3052697200840864
249,12.846153846153847,12.948717948717949,11.380777471686562,3.419769112251685,7.0,16.0,0.300486422896809
250,12.846153846153847,12.435897435897434,11.55188246097337,3.4465893935852283,7.0,16.0,0.2983573807324574
251,12.846153846153847,12.179487179487179,11.641771247831853,3.427819990589154,7.0,16.0,0.29444144860925237
