,grid_type,number_lights,height,width,diffuser_height,mean,std,min,1,5,10,90,95,99,max
58,ogrid,4,5,12.5,0.66,4.077032955820835,2.3671914927927094,0.0,0.0,1.0,1.0,7.0,8.0,11.0,17.0
59,ogrid,4,5,12.5,0.95,4.173757779818386,2.434638703350539,0.0,0.0,1.0,1.0,7.0,9.0,12.0,19.0
60,ogrid,4,5,15.0,0.05,2.5248444036322826,1.7793324351209803,0.0,0.0,0.0,1.0,5.0,6.0,8.0,15.0
61,ogrid,4,5,15.0,0.33,2.64697479848995,1.8417255897448872,0.0,0.0,0.0,1.0,5.0,6.0,8.0,13.0
62,ogrid,4,5,15.0,0.66,2.691766146311601,1.8836102314791616,0.0,0.0,0.0,1.0,5.0,6.0,8.0,15.0
63,ogrid,4,5,15.0,0.95,2.7947148250178553,1.9353642433418774,0.0,0.0,0.0,1.0,5.0,6.0,9.0,14.0
64,ogrid,4,10,7.5,0.05,3.8439955106621775,2.0128266667218395,0.0,0.0,1.0,1.0,7.0,7.0,9.0,14.0
65,ogrid,4,10,7.5,0.33,3.9872461993674113,2.0296598251198734,0.0,0.0,1.0,2.0,7.0,8.0,10.0,14.0
66,ogrid,4,10,7.5,0.66,4.086317722681359,2.0488617390476227,0.0,0.0,1.0,2.0,7.0,8.0,10.0,13.0
67,ogrid,4,10,7.5,0.95,4.168656259565351,2.052126820544244,0.0,0.0,1.0,2.0,7.0,8.0,10.0,14.0
68,ogrid,4,10,10.0,0.05,3.2485460667278847,1.8224568647068322,0.0,0.0,1.0,1.0,6.0,7.0,8.0,11.0
69,ogrid,4,10,10.0,0.33,3.379961228446077,1.8428468521513985,0.0,0.0,1.0,1.0,6.0,7.0,8.0,11.0
70,ogrid,4,10,10.0,0.66,3.4637281910009183,1.8851135871873586,0.0,0.0,1.0,1.0,6.0,7.0,8.0,13.0
71,ogrid,4,10,10.0,0.95,3.5713702683399653,1.8970634570178926,0.0,0.0,1.0,1.0,6.0,7.0,9.0,13.0
72,ogrid,4,10,12.5,0.05,2.6842158963371086,1.6379107351392488,0.0,0.0,0.0,1.0,5.0,6.0,7.0,11.0
73,ogrid,4,10,12.5,0.33,2.7635955514743396,1.6898374315668903,0.0,0.0,0.0,1.0,5.0,6.0,7.0,11.0
74,ogrid,4,10,12.5,0.66,2.858483828180798,1.7078390796488994,0.0,0.0,0.0,1.0,5.0,6.0,8.0,12.0
75,ogrid,4,10,12.5,0.95,2.956943169064381,1.7267655353564964,0.0,0.0,0.0,1.0,5.0,6.0,8.0,12.0
76,ogrid,4,10,15.0,0.05,2.123354759718396,1.4617478840040137,0.0,0.0,0.0,0.0,4.0,5.0,6.0,10.0
77,ogrid,4,10,15.0,0.33,2.230996837057443,1.4857422981811572,0.0,0.0,0.0,0.0,4.0,5.0,6.0,10.0
