,grid_type,light_height,light_width,box_offset,mean,std
210,ogrid,7.625,12.5,0.1,22.492296704417917,95.3075217694911
211,ogrid,7.625,12.5,1.3250000000000002,19.27976737067646,95.62999812084777
212,ogrid,7.625,12.5,2.5500000000000003,16.81236608509336,95.86919391086006
213,ogrid,7.625,12.5,3.7750000000000004,14.911437608407306,96.1346887126339
214,ogrid,7.625,12.5,5.0,13.59524538312417,96.31769566559362
215,ogrid,7.625,16.25,0.1,13.92919089888787,96.24138090834434
216,ogrid,7.625,16.25,1.3250000000000002,12.404040404040405,96.46326145455696
217,ogrid,7.625,16.25,2.5500000000000003,11.274869911233548,96.67983162246063
218,ogrid,7.625,16.25,3.7750000000000004,10.378838893990409,96.784031730302
219,ogrid,7.625,16.25,5.0,9.672176308539944,96.86794237460208
220,ogrid,7.625,20.0,0.1,9.41363126211611,96.92406182442306
221,ogrid,7.625,20.0,1.3250000000000002,8.571574329150087,97.08400719476019
222,ogrid,7.625,20.0,2.5500000000000003,7.96837057443118,97.14821820433826
223,ogrid,7.625,20.0,3.7750000000000004,7.552086521783491,97.27273363579812
224,ogrid,7.625,20.0,5.0,7.121518212427303,97.31643189339694
225,ogrid,10.0,5.0,0.1,31.23650647893072,94.40847477246594
226,ogrid,10.0,5.0,1.3250000000000002,31.169268441995715,94.42757214362157
227,ogrid,10.0,5.0,2.5500000000000003,31.265789205183143,94.44420001345343
228,ogrid,10.0,5.0,3.7750000000000004,31.2191613100704,94.33997903598157
229,ogrid,10.0,5.0,5.0,31.19895928986838,94.41173970399734
230,ogrid,10.0,8.75,0.1,30.902969084787266,94.46487942317577
231,ogrid,10.0,8.75,1.3250000000000002,30.587491072339557,94.44118345104802
232,ogrid,10.0,8.75,2.5500000000000003,25.4178145087236,95.00303071561812
233,ogrid,10.0,8.75,3.7750000000000004,21.527089072543617,95.34431023541224
234,ogrid,10.0,8.75,5.0,18.566574839302113,95.67300727691322
235,ogrid,10.0,12.5,0.1,20.911845730027547,95.42744515600735
236,ogrid,10.0,12.5,1.3250000000000002,17.9742883379247,95.74564543459257
237,ogrid,10.0,12.5,2.5500000000000003,15.648913376186103,96.04678788519564
238,ogrid,10.0,12.5,3.7750000000000004,13.86164677073768,96.30161763175676
239,ogrid,10.0,12.5,5.0,12.400775431078461,96.49825856859542
240,ogrid,10.0,16.25,0.1,13.278645036220794,96.36366413582321
241,ogrid,10.0,16.25,1.3250000000000002,11.785940210182634,96.59524177216089
242,ogrid,10.0,16.25,2.5500000000000003,10.605550454035303,96.76743911771206
243,ogrid,10.0,16.25,3.7750000000000004,9.7060504030201,96.90130822007498
244,ogrid,10.0,16.25,5.0,8.926946229976533,96.98536553338288
245,ogrid,10.0,20.0,0.1,9.091011121314152,96.97672839209567
246,ogrid,10.0,20.0,1.3250000000000002,8.317620650953984,97.09673269994514
247,ogrid,10.0,20.0,2.5500000000000003,7.6400367309458215,97.20539441345908
248,ogrid,10.0,20.0,3.7750000000000004,7.121722273237425,97.32154074170049
249,ogrid,10.0,20.0,5.0,6.61381491684522,97.38051984079185
250,grid,0.5,5.0,0.1,46.2248750127538,51.229780915906815
251,grid,0.5,5.0,1.3250000000000002,46.23844505662687,51.24123068269152
252,grid,0.5,5.0,2.5500000000000003,46.295071931435565,51.19184743552681
253,grid,0.5,5.0,3.7750000000000004,46.22916028976635,51.33104891291295
254,grid,0.5,5.0,5.0,46.239567391082545,51.2529171802356
255,grid,0.5,8.75,0.1,45.61473319049077,82.07196410004123
256,grid,0.5,8.75,1.3250000000000002,45.146107540046934,82.09358188772711
257,grid,0.5,8.75,2.5500000000000003,42.33139475563718,82.08150950026845
258,grid,0.5,8.75,3.7750000000000004,41.529333741454955,82.00966199144644
259,grid,0.5,8.75,5.0,41.12998673604734,81.78375762495098
260,grid,0.5,12.5,0.1,23.834200591776348,83.06647802405811
261,grid,0.5,12.5,1.3250000000000002,22.960922354861747,82.99244832660315
262,grid,0.5,12.5,2.5500000000000003,22.64401591674319,83.04197439744664
263,grid,0.5,12.5,3.7750000000000004,22.469033772064076,83.07797445182226
264,grid,0.5,12.5,5.0,22.35833078257321,83.16242043727092
265,grid,0.5,16.25,0.1,11.604224058769514,87.51028262895565
266,grid,0.5,16.25,1.3250000000000002,11.3658810325477,87.55307994494291
267,grid,0.5,16.25,2.5500000000000003,11.285072951739618,87.45008331695236
268,grid,0.5,16.25,3.7750000000000004,11.265891235588205,87.5229622703505
269,grid,0.5,16.25,5.0,11.202224262830324,87.50890454287882
270,grid,0.5,20.0,0.1,8.728497092133455,87.24327389617989
271,grid,0.5,20.0,1.3250000000000002,8.63381287623712,87.41646520790877
272,grid,0.5,20.0,2.5500000000000003,8.584226099377615,87.31406134241482
273,grid,0.5,20.0,3.7750000000000004,8.613100704009796,87.35262017273082
274,grid,0.5,20.0,5.0,8.577083971023365,87.32006553676122
275,grid,2.875,5.0,0.1,41.54484236302418,86.13022603971639
276,grid,2.875,5.0,1.3250000000000002,41.529231711049896,85.95435068141694
277,grid,2.875,5.0,2.5500000000000003,41.59136822773186,85.9805532844266
278,grid,2.875,5.0,3.7750000000000004,41.56106519742883,85.99337796182652
279,grid,2.875,5.0,5.0,41.62003877155392,85.94166893917996
280,grid,2.875,8.75,0.1,40.519844913784304,93.65316961712254
281,grid,2.875,8.75,1.3250000000000002,40.02703805734109,93.62519950825595
282,grid,2.875,8.75,2.5500000000000003,33.47280889705132,93.76623624222061
283,grid,2.875,8.75,3.7750000000000004,29.657585960616263,93.58442823167236
284,grid,2.875,8.75,5.0,27.458422609937763,93.4665177829915
285,grid,2.875,12.5,0.1,24.81981430466279,94.88033422363621
286,grid,2.875,12.5,1.3250000000000002,21.610039791857975,95.37570537112309
287,grid,2.875,12.5,2.5500000000000003,19.675033159881643,95.52608507398153
288,grid,2.875,12.5,3.7750000000000004,18.52157943067034,95.68163582462651
289,grid,2.875,12.5,5.0,17.761554943373124,95.78520596995429
290,grid,2.875,16.25,0.1,14.108458320579533,96.23017489140743
291,grid,2.875,16.25,1.3250000000000002,13.081624324048567,96.42023991998593
292,grid,2.875,16.25,2.5500000000000003,12.417406387103357,96.47147281742197
