,light_height,light_width,mirror_offset,inter_0,inter_1,inter_2,inter_3,metric
7525,1.736842105263158,6.578947368421053,7.394736842105264,102.34557698194062,38.12306758231482,50.0,150.0,0.37249355278970014
7526,1.736842105263158,6.578947368421053,6.873684210526316,103.66483011937558,38.08645293068597,51.0,152.0,0.36739994544752924
7527,1.736842105263158,6.578947368421053,6.352631578947369,105.19763289460259,37.61713018461819,53.0,152.0,0.3575853291519093
7528,1.736842105263158,6.578947368421053,5.831578947368421,106.96102438526681,37.15881021982377,55.0,153.0,0.3474051453170465
7529,1.736842105263158,6.578947368421053,5.310526315789474,109.36343230282624,36.88127286783818,59.0,156.0,0.33723587575154285
7530,1.736842105263158,6.578947368421053,4.7894736842105265,112.51862054892358,36.220062879280945,62.0,158.0,0.3219028344160361
7531,1.736842105263158,6.578947368421053,4.268421052631579,116.43464952555861,35.13826580823119,68.0,161.0,0.3017853014666221
7532,1.736842105263158,6.578947368421053,3.747368421052632,122.0314253647587,33.517313391876286,76.0,164.0,0.2746613283561277
7533,1.736842105263158,6.578947368421053,3.2263157894736847,126.46556473829202,32.233766065062696,82.0,167.0,0.2548817627293824
7534,1.736842105263158,6.578947368421053,2.7052631578947373,126.57330884603611,32.38004095266288,82.0,167.0,0.2558204509929498
7535,1.736842105263158,6.578947368421053,2.18421052631579,126.43607795122946,32.25943863058972,82.0,167.0,0.25514425275856184
7536,1.736842105263158,6.578947368421053,1.6631578947368424,126.51137639016427,32.2513104218952,82.0,167.0,0.2549281443467293
7537,1.736842105263158,6.578947368421053,1.142105263157895,126.4398530762167,32.143078754595734,82.0,167.0,0.25421635641430396
7538,1.736842105263158,6.578947368421053,0.1,126.5240281603918,32.25933487219018,82.0,167.0,0.25496607514973924
7539,1.736842105263158,6.578947368421053,0.6210526315789474,126.45658606264666,32.23255870650442,82.0,167.0,0.25489031224151815
7540,1.736842105263158,6.052631578947368,10.0,101.71543720028569,46.81640386973255,41.0,164.0,0.46026842294889186
7541,1.736842105263158,6.052631578947368,9.478947368421053,102.31578410366289,46.807108241378536,41.0,165.0,0.4574769049705484
7542,1.736842105263158,6.052631578947368,8.957894736842105,102.95602489541884,46.69451489551431,42.0,165.0,0.45353843976538416
7543,1.736842105263158,6.052631578947368,7.915789473684211,104.67942046729925,46.39160787697386,44.0,167.0,0.4431779204534869
7544,1.736842105263158,6.052631578947368,8.436842105263159,103.80522395673911,46.47181232900293,43.0,166.0,0.44768279049588183
7545,1.736842105263158,6.052631578947368,7.394736842105264,105.87072747678808,46.203967058610644,46.0,167.0,0.43641871705038354
7546,1.736842105263158,6.052631578947368,6.873684210526316,107.27313539434752,46.090035583836425,48.0,169.0,0.4296512394683396
7547,1.736842105263158,6.052631578947368,6.352631578947369,109.1147842056933,45.64771509344784,49.0,170.0,0.4183458311881634
7548,1.736842105263158,6.052631578947368,5.831578947368421,111.34425058667483,45.242732637367666,53.0,172.0,0.4063320054603889
7549,1.736842105263158,6.052631578947368,5.310526315789474,114.22334455667789,44.542898411241026,56.0,173.0,0.38996317770347494
7550,1.736842105263158,6.052631578947368,4.7894736842105265,117.88929701050913,43.70767751894665,61.0,176.0,0.3707518716906962
7551,1.736842105263158,6.052631578947368,4.268421052631579,122.87756351392716,42.379431692872274,68.0,179.0,0.34489153659096533
7552,1.736842105263158,6.052631578947368,3.747368421052632,126.8989898989899,41.105558903363445,73.0,182.0,0.32392345231497105
7553,1.736842105263158,6.052631578947368,3.2263157894736847,126.99979593918988,41.08321590973568,74.0,182.0,0.32349040883031943
7554,1.736842105263158,6.052631578947368,2.7052631578947373,126.88929701050913,41.35378317450824,74.0,182.0,0.3259044233737324
7555,1.736842105263158,6.052631578947368,2.18421052631579,126.97847158453219,40.98080813994414,74.0,181.0,0.3227382376599357
7556,1.736842105263158,6.052631578947368,1.6631578947368424,126.92745638200184,41.33558380956317,73.0,182.0,0.3256630597335795
7557,1.736842105263158,6.052631578947368,1.142105263157895,126.91602897663503,40.9461633890254,74.0,181.0,0.3226240508719628
7558,1.736842105263158,6.052631578947368,0.1,126.92133455769819,41.20381223050484,73.0,182.0,0.32464055293851063
7559,1.736842105263158,6.052631578947368,0.6210526315789474,126.83185389245995,41.11279734364133,73.0,182.0,0.324151986128821
7560,1.736842105263158,5.526315789473684,10.0,104.11549841852872,55.824973224588206,37.0,184.0,0.5361831242470758
7561,1.736842105263158,5.526315789473684,9.478947368421053,104.79777573716967,55.59577716773925,38.0,185.0,0.5305053163262944
7562,1.736842105263158,5.526315789473684,8.957894736842105,105.5468829711254,55.74481509966962,38.0,185.0,0.5281521683110225
7563,1.736842105263158,5.526315789473684,8.436842105263159,106.52004897459443,55.373877695399365,40.0,185.0,0.5198446511098236
7564,1.736842105263158,5.526315789473684,7.915789473684211,107.79991837567596,55.32318035191077,41.0,187.0,0.5132024326689465
