,light_height,light_width,grid_type,inter_0,inter_1,inter_2,inter_3,metric
1242,3.9473684210526314,9.736842105263158,ogrid,45.135904499540864,8.862869259197218,34.0,57.0,0.1963596245044203
1243,3.9473684210526314,9.736842105263158,circle,45.27364554637282,8.882688853821891,34.0,57.0,0.1961999911123469
1244,3.9473684210526314,9.210526315789473,spiral,47.46729925517804,9.869114727712544,35.0,60.0,0.20791397198853603
1245,3.9473684210526314,9.210526315789473,grid,47.499132741556984,9.89327933937786,35.0,60.0,0.2082833678923622
1246,3.9473684210526314,9.210526315789473,ogrid,47.46342209978574,9.825947467319615,35.0,60.0,0.20702147111646996
1247,3.9473684210526314,9.210526315789473,circle,47.37108458320579,9.754769685453956,35.0,60.0,0.20592244765517276
1248,3.9473684210526314,8.68421052631579,spiral,49.57585960616264,10.824512423923476,35.0,64.0,0.21834240515272701
1249,3.9473684210526314,8.68421052631579,grid,49.66748290990715,10.948904745747617,35.0,64.0,0.2204441236856729
1250,3.9473684210526314,8.68421052631579,ogrid,49.672278338945006,11.016147714180114,35.0,64.0,0.2217765740280736
1251,3.9473684210526314,8.68421052631579,circle,49.57116620752984,11.013393130138436,35.0,64.0,0.2221733715932934
1252,3.9473684210526314,8.157894736842106,spiral,51.84573002754821,12.417254928417789,36.0,68.0,0.2395039074928617
1253,3.9473684210526314,8.157894736842106,grid,51.75645342312009,12.341804411888516,36.0,68.0,0.23845923736295493
1254,3.9473684210526314,8.157894736842106,ogrid,51.63809815324967,12.404202176048278,35.0,68.0,0.2402141562076035
1255,3.9473684210526314,8.157894736842106,circle,51.76522803795531,12.402439560911743,36.0,68.0,0.2395901656574955
1256,3.9473684210526314,7.631578947368421,spiral,53.93878175696358,13.872748267037117,36.0,72.0,0.2571943194702599
1257,3.9473684210526314,7.631578947368421,grid,53.93112947658402,14.110183813688082,36.0,73.0,0.2616333822530916
1258,3.9473684210526314,7.631578947368421,ogrid,53.75900418324661,13.917076146100678,35.0,72.0,0.25887897957823
1259,3.9473684210526314,7.631578947368421,circle,53.823385368839915,14.00785879996385,36.0,72.0,0.2602559966076279
1260,3.9473684210526314,7.105263157894736,spiral,55.95306601367207,15.935118713202794,35.0,77.0,0.2847943794413172
1261,3.9473684210526314,7.105263157894736,grid,55.9332721150903,15.96769504240276,35.0,77.0,0.28547757780998506
1262,3.9473684210526314,7.105263157894736,ogrid,55.911539638812364,15.864710600293446,35.0,77.0,0.28374662373419185
1263,3.9473684210526314,6.578947368421053,spiral,57.60952963983267,17.904337932395958,35.0,82.0,0.3107877818883709
1264,3.9473684210526314,7.105263157894736,circle,55.91653912866034,15.731835130347518,36.0,77.0,0.28134493614044287
1265,3.9473684210526314,6.578947368421053,grid,57.735435159677586,17.8844052790523,35.0,82.0,0.30976479573748433
1266,3.9473684210526314,6.578947368421053,ogrid,57.70023466993164,17.96023021417074,35.0,82.0,0.3112678885434422
1267,3.9473684210526314,6.578947368421053,circle,57.741863075196406,17.957195285517635,35.0,82.0,0.3109909228618452
1268,3.9473684210526314,6.052631578947368,spiral,59.41914090398939,20.168791281016613,34.0,87.0,0.3394325628774361
1269,3.9473684210526314,6.052631578947368,grid,59.504744413835326,20.22335749289307,34.0,88.0,0.3398612613516407
1270,3.9473684210526314,6.052631578947368,ogrid,59.52617079889807,20.143662015506717,34.0,87.0,0.33840009772440477
1271,3.9473684210526314,6.052631578947368,circle,59.499234771962044,20.28918630543669,34.0,88.0,0.3409991134036838
1272,3.9473684210526314,5.526315789473684,spiral,61.07988980716254,22.460686661127646,33.0,93.0,0.36772637822430704
1273,3.9473684210526314,5.526315789473684,grid,61.10774410774411,22.609035248594278,33.0,93.0,0.36998641626714973
1274,3.9473684210526314,5.526315789473684,ogrid,61.05876951331497,22.5739477925993,33.0,93.0,0.36970852790730807
1275,3.9473684210526314,5.526315789473684,circle,61.11672278338945,22.53880660543509,33.0,93.0,0.36878297099334617
1276,3.9473684210526314,5.0,spiral,62.588307315580046,24.98042049328761,32.0,99.0,0.3991228004830426
1277,3.9473684210526314,5.0,grid,62.646158555249464,25.10395665462589,33.0,100.0,0.40072619349015604
1278,3.9473684210526314,5.0,ogrid,62.71278440975411,25.140224004267388,32.0,100.0,0.4008787720220755
1279,3.9473684210526314,5.0,circle,62.519232731353945,25.097452392285078,32.0,99.0,0.40143570699482506
1280,3.2105263157894735,15.0,spiral,28.964493419038874,5.788624801727658,22.0,37.0,0.19985244409359124
1281,3.2105263157894735,15.0,grid,28.923783287419653,5.79556901025319,22.0,36.0,0.20037382221619543
1282,3.2105263157894735,15.0,ogrid,28.928170594837262,5.820736603257892,22.0,36.0,0.2012134360233863
1283,3.2105263157894735,15.0,circle,29.020814202632383,5.859193227857013,22.0,37.0,0.2018962385736767
1284,3.2105263157894735,14.473684210526315,spiral,30.576471788593,5.920458153894,23.0,38.0,0.19362790431899057
1285,3.2105263157894735,14.473684210526315,grid,30.56912559942863,5.962500725122875,23.0,38.0,0.19504976371435107
1286,3.2105263157894735,14.473684210526315,ogrid,30.59677583920008,5.932539662394595,23.0,38.0,0.1938942747945986
1287,3.2105263157894735,14.473684210526315,circle,30.529945923885318,5.909733720292716,23.0,38.0,0.19357170612179808
1288,3.2105263157894735,13.947368421052632,spiral,32.32282420161208,6.086146388484673,25.0,40.0,0.18829253132469564
1289,3.2105263157894735,13.947368421052632,grid,32.33129272523212,6.131065947134691,25.0,40.0,0.1896325643159285
1290,3.2105263157894735,13.947368421052632,ogrid,32.26670747882869,6.062447755950344,25.0,40.0,0.18788553991534854
1291,3.2105263157894735,13.947368421052632,circle,32.28690949903071,6.057096715357494,25.0,40.0,0.18760224528579714
1292,3.2105263157894735,13.421052631578947,spiral,34.21640648913376,6.2201885847331555,26.0,42.0,0.18178965072526027
1293,3.2105263157894735,13.421052631578947,grid,34.131415161718195,6.2339252502154405,26.0,42.0,0.18264479280095638
1294,3.2105263157894735,13.421052631578947,ogrid,34.24446485052545,6.152454376045017,27.0,42.0,0.17966273974202907
1295,3.2105263157894735,13.421052631578947,circle,34.21875318845016,6.147981214128828,26.0,42.0,0.1796670141740861
1296,3.2105263157894735,12.894736842105264,spiral,36.1934496479951,6.432283414007077,28.0,44.0,0.1777195452924556
1297,3.2105263157894735,12.894736842105264,grid,36.24681154984185,6.433098232435896,28.0,45.0,0.17748038951205253
1298,3.2105263157894735,12.894736842105264,ogrid,36.34925007652281,6.433031255352318,28.0,45.0,0.17697837621985146
1299,3.2105263157894735,12.894736842105264,circle,36.18528721559024,6.4015028463331864,28.0,44.0,0.17690899641595584
1300,3.2105263157894735,12.368421052631579,spiral,38.46729925517804,6.701757733598965,30.0,47.0,0.17421960635036912
1301,3.2105263157894735,12.368421052631579,grid,38.475053565962654,6.594730890839085,30.0,47.0,0.17140277347588104
1302,3.2105263157894735,12.368421052631579,ogrid,38.39924497500255,6.702983073585103,30.0,47.0,0.17456028309797925
1303,3.2105263157894735,12.368421052631579,circle,38.439853076216714,6.757619493663707,30.0,47.0,0.17579722482978852
1304,3.2105263157894735,11.842105263157894,spiral,40.91796755433119,7.126776577431217,32.0,50.0,0.17417230139713633
1305,3.2105263157894735,11.842105263157894,grid,40.85725946332007,7.048792200185668,32.0,50.0,0.17252239364007704
1306,3.2105263157894735,11.842105263157894,ogrid,40.80695847362514,7.044241707505623,32.0,50.0,0.17262354193975388
1307,3.2105263157894735,11.842105263157894,circle,40.839914294459746,7.0308096990883024,32.0,50.0,0.17215534901458124
1308,3.2105263157894735,11.31578947368421,spiral,43.33241505968779,7.442031815345316,34.0,53.0,0.17174283512918367
1309,3.2105263157894735,11.31578947368421,grid,43.3715947352311,7.467349956534692,34.0,53.0,0.1721714408271205
1310,3.2105263157894735,11.31578947368421,ogrid,43.37894092439547,7.407909013213218,34.0,53.0,0.17077201184151442
1311,3.2105263157894735,11.31578947368421,circle,43.33465972859912,7.432369056627804,34.0,53.0,0.17151095919931134
1312,3.2105263157894735,10.789473684210526,spiral,46.008876645240285,7.955417478139729,36.0,56.0,0.17291049158799085
1313,3.2105263157894735,10.789473684210526,grid,45.97785940210183,7.975066974301408,36.0,56.0,0.17345450784376526
1314,3.2105263157894735,10.789473684210526,ogrid,46.000816243240486,8.011215441283165,36.0,56.0,0.17415376716191117
1315,3.2105263157894735,10.789473684210526,circle,45.98255280073462,7.989765010107344,36.0,56.0,0.17375644724926406
1316,3.2105263157894735,10.263157894736842,spiral,48.77594123048669,8.675785547490744,38.0,60.0,0.17787018207386374
1317,3.2105263157894735,10.263157894736842,grid,48.67340067340067,8.60977984054875,38.0,60.0,0.17688880829018946
