,light_height,light_width,mirror_offset,inter_0,inter_1,inter_2,inter_3,metric
25,15.0,14.473684210526315,6.352631578947369,42.9252117130905,6.53411366461227,35.0,51.0,0.1522208838080028
26,15.0,14.473684210526315,7.394736842105264,42.8636873788389,6.540307603034031,35.0,51.0,0.152583877005945
27,15.0,14.473684210526315,5.831578947368421,42.88817467605347,6.62334746977943,34.0,52.0,0.15443295313469155
28,15.0,14.473684210526315,5.310526315789474,43.014794408733806,6.642893446731743,35.0,52.0,0.1544327605895277
29,15.0,14.473684210526315,4.7894736842105265,42.935720844811755,6.612571345492445,35.0,52.0,0.15401095440770948
30,15.0,14.473684210526315,4.268421052631579,43.02877257422712,6.518008035085648,35.0,52.0,0.15148022230570737
31,15.0,14.473684210526315,8.957894736842105,43.00979491888583,6.603720739717989,35.0,52.0,0.15353992624638765
32,15.0,14.473684210526315,3.747368421052632,42.97183960820325,6.583365610238584,35.0,52.0,0.15320185661732366
33,15.0,14.473684210526315,2.7052631578947373,43.0171411080502,6.6711732571306515,35.0,52.0,0.15508174381868006
34,15.0,14.473684210526315,3.2263157894736847,42.95561677379859,6.672966821822402,34.0,52.0,0.15534561770959546
35,15.0,14.473684210526315,2.18421052631579,42.919395980002044,6.568440146720144,35.0,51.0,0.15304129978391723
36,15.0,14.473684210526315,1.142105263157895,42.98408325681053,6.625396569635242,35.0,52.0,0.1541360444993437
37,15.0,14.473684210526315,1.6631578947368424,42.94378124681155,6.566993053305785,35.0,52.0,0.15292069917092746
38,15.0,14.473684210526315,0.1,42.96724823997551,6.614954679681995,35.0,52.0,0.15395341686153474
39,15.0,14.473684210526315,0.6210526315789474,42.94745434139374,6.54501759192643,35.0,51.0,0.15239593806653617
40,15.0,13.947368421052632,9.478947368421053,43.83583307825732,6.677163876926667,35.0,52.0,0.15232204815193887
41,15.0,13.947368421052632,10.0,43.87521681461075,6.6294830047401625,35.0,52.0,0.151098581068037
42,15.0,13.947368421052632,8.436842105263159,43.7608407305377,6.632983554697855,35.0,52.0,0.1515734945665509
43,15.0,13.947368421052632,7.915789473684211,43.72676257524742,6.70017801919322,35.0,52.0,0.15322831201288192
44,15.0,13.947368421052632,7.394736842105264,43.83103764921947,6.720445760512357,35.0,53.0,0.15332618438778925
45,15.0,13.947368421052632,6.873684210526316,43.79736761554943,6.611013280171284,35.0,52.0,0.1509454480963867
46,15.0,13.947368421052632,6.352631578947369,43.77532904805632,6.618661526038911,36.0,52.0,0.15119615705853356
47,15.0,13.947368421052632,5.831578947368421,43.77237016630956,6.615484257415313,35.0,52.0,0.15113379129986151
48,15.0,13.947368421052632,5.310526315789474,43.715233139475565,6.625478948578661,35.0,52.0,0.15155995914375545
49,15.0,13.947368421052632,4.7894736842105265,43.79634731149883,6.703262802101413,35.0,52.0,0.1530552937308874
50,15.0,13.947368421052632,4.268421052631579,43.784307723701666,6.581969063755898,35.0,52.0,0.15032712416720237
51,15.0,13.947368421052632,3.747368421052632,43.794816855422916,6.644302684025528,36.0,52.0,0.15171436167800287
52,15.0,13.947368421052632,8.957894736842105,43.88113457810427,6.540686954479278,36.0,52.0,0.14905464540433597
53,15.0,13.947368421052632,3.2263157894736847,43.70962146719722,6.588318177198488,35.0,52.0,0.15072924349488648
54,15.0,13.947368421052632,2.7052631578947373,43.74665850423426,6.650469711189765,35.0,52.0,0.15202234727358804
55,15.0,13.947368421052632,2.18421052631579,43.7517600244873,6.629826524801543,35.0,52.0,0.15153279596274333
56,15.0,13.947368421052632,1.6631578947368424,43.87572696663606,6.653680613931604,35.0,52.0,0.1516483275363435
57,15.0,13.947368421052632,1.142105263157895,43.831853892459954,6.734328323072755,35.0,53.0,0.15364005226872707
58,15.0,13.947368421052632,0.1,43.888888888888886,6.6397989355937375,35.0,52.0,0.15128655802618643
59,15.0,13.947368421052632,0.6210526315789474,43.75931027446179,6.659325717524714,35.0,52.0,0.15218077423425797
60,15.0,13.421052631578947,10.0,44.635751453933274,6.813396245648607,36.0,53.0,0.15264437191519972
61,15.0,13.421052631578947,9.478947368421053,44.70972349760228,6.746576206961801,36.0,54.0,0.15089729211417757
62,15.0,13.421052631578947,8.957894736842105,44.79716355473931,6.729189228228113,36.0,54.0,0.15021462731687169
63,15.0,13.421052631578947,7.915789473684211,44.729925517804304,6.706584752122888,36.0,53.0,0.14993507533236106
64,15.0,13.421052631578947,7.394736842105264,44.74257728803183,6.814473533261936,36.0,54.0,0.15230400093837992
65,15.0,13.421052631578947,6.873684210526316,44.71329456177941,6.687146060030454,36.0,53.0,0.14955610239793368
66,15.0,13.421052631578947,6.352631578947369,44.73482297724722,6.657828583907458,36.0,53.0,0.1488287678548259
67,15.0,13.421052631578947,5.831578947368421,44.66431996735027,6.7592863161869134,36.0,53.0,0.1513352564446961
68,15.0,13.421052631578947,5.310526315789474,44.61442709927558,6.649686977988537,36.0,53.0,0.1490479069291133
69,15.0,13.421052631578947,4.7894736842105265,44.86052443628201,6.669148121775094,36.0,54.0,0.1486640694815699
70,15.0,13.421052631578947,4.268421052631579,44.63391490664218,6.686826624764961,36.0,53.0,0.149814925236815
71,15.0,13.421052631578947,3.747368421052632,44.8732782369146,6.745150294975704,36.0,54.0,0.1503155231798257
72,15.0,13.421052631578947,3.2263157894736847,44.76226915620855,6.742150617789587,36.0,54.0,0.15062128763538
73,15.0,13.421052631578947,8.436842105263159,44.697071727374755,6.6947648301386735,36.0,53.0,0.1497808373437238
74,15.0,13.421052631578947,2.7052631578947373,44.72615039281706,6.683228491722872,36.0,53.0,0.14942552473275647
75,15.0,13.421052631578947,1.6631578947368424,44.67278849097031,6.651188281013327,36.0,53.0,0.14888679452722609
76,15.0,13.421052631578947,2.18421052631579,44.59820426487093,6.678851188501608,36.0,53.0,0.14975605629400643
